# FCI-FPGA FoM wizard dataset, derived from Zenodo record 8037239
# See data/zenodo_to_gui_csv.py for exactly how energy_long/fci/psd were derived
# (fci is 1 - Zenodo's own FCI column; psd is computed here, not published)
energy_long,fci,psd
27613.7,0.115466,0.607537
11421,0.104982,0.594782
7659.33,0.117261,0.587867
13879.3,0.128976,0.609227
26240.3,0.126061,0.573113
15648,0.111583,0.602122
13583,0.127802,0.555768
26751.3,0.0979429,0.580519
26172.7,0.121705,0.577142
26291.7,0.10397,0.574415
14336.7,0.125954,0.592211
15793.3,0.120733,0.574588
17413.3,0.102771,0.580858
17170.7,0.0914694,0.59027
8090.67,0.116301,0.61643
9661.33,0.0987166,0.574213
5560,0.152386,0.571942
14767.3,0.102557,0.581667
9821,0.12605,0.590877
5483.33,0.164662,0.57459
10987.7,0.100257,0.570852
11475.3,0.120798,0.597601
25779,0.090442,0.572094
8166,0.132606,0.57568
24164.3,0.100848,0.573352
15421.7,0.103509,0.622847
9660,0.100483,0.590683
8454.33,0.135205,0.578362
14020,0.122516,0.560842
9989.33,0.116025,0.577983
11039.3,0.13684,0.60526
9672.33,0.122145,0.578936
24615.3,0.096483,0.592706
14050.7,0.108012,0.603767
8857.67,0.131609,0.574681
12074,0.111341,0.60328
15433,0.116154,0.62956
8759.33,0.142118,0.619073
9040,0.122287,0.559845
15093.7,0.0987341,0.590998
12933.7,0.114812,0.585475
19898.7,0.0956882,0.629556
27331,0.0942138,0.594856
8944,0.129729,0.575693
22085.7,0.104082,0.573871
15750.3,0.10406,0.591839
4677.67,0.147505,0.589468
6513,0.146691,0.573929
16914.3,0.107429,0.611296
7389.33,0.155621,0.593107
12661,0.123321,0.568281
11066.7,0.128532,0.570753
20165,0.103713,0.594942
27966.3,0.0969594,0.615979
11275,0.140107,0.563016
13024,0.119992,0.585918
15318.7,0.1102,0.606145
13624,0.104676,0.587639
8421.33,0.11906,0.548686
7538.33,0.159213,0.634314
8171.67,0.150702,0.591597
8906.33,0.130144,0.581459
24527.7,0.104592,0.581194
10776,0.106721,0.589272
8461.67,0.103165,0.604885
7766.33,0.139127,0.601013
15816.3,0.112912,0.560475
28217.7,0.101395,0.594781
11313,0.121986,0.572174
8239.33,0.137374,0.574521
6967.67,0.143149,0.558915
14669.7,0.116963,0.599491
8322.67,0.130655,0.638898
16304.3,0.126514,0.570196
5438.67,0.179061,0.570789
18850,0.105595,0.571034
13058.3,0.115465,0.599132
5658.33,0.176859,0.611782
12955.3,0.122458,0.576416
13568.3,0.108889,0.605872
7771,0.145957,0.580749
6647.67,0.165701,0.59304
11941.7,0.122234,0.592826
6240,0.166729,0.622115
12293.3,0.124845,0.57801
7058.33,0.135069,0.565525
9612,0.118985,0.610591
6617.67,0.174093,0.6122
7133.33,0.14143,0.591963
12254,0.110413,0.596703
18013.3,0.110535,0.57339
8175,0.133593,0.577248
21929.3,0.0989782,0.623944
10724.7,0.118778,0.595667
25980,0.0926556,0.571055
14836.3,0.129514,0.578894
17357.3,0.110989,0.593505
16395,0.105865,0.586886
21746.3,0.0945717,0.582704
7202.67,0.135052,0.590244
4760.67,0.179679,0.588013
18436.3,0.121017,0.56517
6260.67,0.142034,0.580343
16163.7,0.0970045,0.591966
15701.3,0.113528,0.596234
16580,0.107673,0.610253
9685,0.120188,0.575942
16982.7,0.0913061,0.547755
15608,0.118044,0.563045
12500,0.101022,0.57704
15969,0.109624,0.585509
10362,0.121107,0.625555
17850,0.113765,0.595854
18862,0.100072,0.590022
10511,0.117396,0.597279
16002.7,0.099268,0.584236
9459.33,0.127338,0.592818
11502.7,0.128257,0.604324
22639.7,0.0862784,0.586596
13198.7,0.100101,0.613269
28459.3,0.0990201,0.566129
25564.7,0.110236,0.591611
8368,0.136445,0.578155
10490.3,0.121568,0.583172
12483,0.11135,0.577185
13772.3,0.125568,0.581359
27982,0.0950699,0.585269
9005.33,0.143841,0.630589
17406.3,0.0958446,0.585974
7027,0.145881,0.566671
6624.33,0.119545,0.61103
15775,0.114872,0.589794
8405.67,0.107117,0.631043
25152.7,0.107248,0.582099
13874.3,0.110217,0.58595
19603.3,0.120303,0.58065
18693.3,0.103082,0.595863
28582.7,0.102824,0.599956
16261,0.109151,0.57438
5502.67,0.163047,0.562152
26507.3,0.0998057,0.585486
28964.7,0.0818506,0.587313
8783.33,0.120914,0.587324
8232.67,0.114875,0.653656
14612.3,0.0955736,0.587563
27734.7,0.098382,0.585381
9606,0.118696,0.58224
9241,0.111956,0.620496
14886.7,0.116791,0.54944
8405,0.13082,0.578584
19261.7,0.102474,0.59846
9847.67,0.0958159,0.553363
12170.3,0.115615,0.59478
26548.3,0.0902547,0.574487
9988,0.113049,0.60032
10167.7,0.131408,0.557683
14196.7,0.0964656,0.57213
8768,0.126623,0.579037
18756.3,0.111273,0.578667
9547.33,0.122383,0.575204
6220.67,0.165168,0.601275
16753.7,0.0928544,0.623406
18634.3,0.0980651,0.607409
24142.3,0.0982192,0.539785
12944,0.101888,0.583745
13388,0.104565,0.586122
4817.67,0.16033,0.624438
9004.67,0.119104,0.599726
6015,0.148833,0.603491
5988,0.14078,0.58517
25872.3,0.0978377,0.582579
20142.3,0.107716,0.57941
55921.3,0.103956,0.588034
17836,0.113101,0.558645
15085,0.114562,0.58767
15892,0.106881,0.60068
8185.33,0.119424,0.597491
9041.67,0.160784,0.621051
10791.3,0.135437,0.599895
5923.67,0.139304,0.639356
10189.7,0.116573,0.634106
13626,0.123121,0.615514
20567,0.102666,0.586862
11461.7,0.116235,0.600029
14394.3,0.111385,0.601811
17476,0.103026,0.566148
7080.33,0.124531,0.600348
10949,0.136186,0.62645
8321,0.116057,0.624084
9444.33,0.118775,0.58296
11172.3,0.126481,0.615509
8750,0.125866,0.596571
27255,0.104414,0.578279
12627.7,0.119399,0.617005
18478.3,0.112612,0.589104
6130,0.150345,0.578793
10752.3,0.121677,0.620578
15391.3,0.119312,0.608308
8736.67,0.139936,0.598321
12521,0.119827,0.600431
14788.3,0.106136,0.641497
5948.33,0.137138,0.591202
17880.7,0.122303,0.580366
17368,0.11254,0.564774
7743.33,0.110334,0.536418
4913.33,0.169314,0.585278
7064.67,0.114016,0.653723
12623,0.108871,0.57926
14911,0.105765,0.625243
